Day fraction since midnight on 	pH probe (pH)	Source Pressure (Pa)	air valve control ()
0.60556187	7.049951553	-18.17252541	NaN
0.605573433	7.059087753	-18.17252541	NaN
0.605585046	7.071554661	-18.17252541	NaN
0.605596596	7.075258255	-18.17252541	NaN
0.605608162	7.040063858	-18.17252541	NaN
0.605619761	7.049249172	-18.17252541	NaN
0.60563131	7.037848949	-18.17252541	NaN
0.60564292	7.062020779	-18.17252541	NaN
0.605654475	7.018855095	-18.17252541	NaN
0.60566604	7.051347733	-18.17252541	NaN
0.605677608	7.019854069	-18.17252541	NaN
0.605689192	7.045060158	-18.17252541	NaN
0.605700792	7.026263714	-18.17252541	NaN
0.605712345	7.02717495	-18.17252541	NaN
0.605723932	6.995066643	-18.17252541	NaN
0.605735509	7.029407024	-18.17252541	NaN
0.605747073	6.998785496	-18.17252541	NaN
0.605758641	7.022660732	-18.17252541	NaN
0.605770222	6.985353947	-18.17252541	NaN
0.605781816	7.012183666	-18.17252541	NaN
0.605793363	6.985219955	-18.17252541	NaN
0.605804958	6.996490955	-18.17252541	NaN
0.605816516	6.980892181	-18.17252541	NaN
0.605828102	6.994354248	-18.17252541	NaN
0.605839649	6.983407497	-18.17252541	NaN
0.605851235	6.998257637	-18.17252541	NaN
0.605862813	6.97289896	-18.17252541	NaN
0.605874384	6.979566097	-18.17252541	NaN
0.60588598	6.975392342	-18.17252541	NaN
0.605897553	7.003783703	-18.17252541	NaN
0.60590911	6.971346855	-18.17252541	NaN
0.605920695	6.946455479	-18.17252541	NaN
0.605932265	6.942051411	-18.17252541	NaN
0.605943858	6.972834587	-18.17252541	NaN
0.605955404	6.982579231	-18.17252541	NaN
0.605966995	6.935483456	-18.17252541	NaN
0.605978576	6.955471039	-18.17252541	NaN
0.605990141	6.918681622	-18.17252541	NaN
0.606001712	6.932633877	-18.17252541	NaN
0.606013284	6.936213493	-18.17252541	NaN
0.606024886	6.942595482	-18.17252541	NaN
0.606036418	6.922303677	-18.17252541	NaN
0.606048006	6.920343876	-18.17252541	NaN
0.606059589	6.906107426	-18.17252541	NaN
0.60607117	6.917441368	-18.17252541	NaN
0.606082732	6.890299797	-18.17252541	NaN
0.606094318	6.926789284	-18.17252541	NaN
0.606105893	6.895053387	-18.17252541	NaN
0.606117466	6.937203884	-18.17252541	NaN
0.60612905	6.917878151	-18.17252541	NaN
0.606140625	6.914002419	-18.17252541	NaN
0.606152181	6.920436382	-18.17252541	NaN
0.606163768	6.931228161	-18.17252541	NaN
0.606175351	6.903772831	-18.17252541	NaN
0.606186912	6.916548252	-18.17252541	NaN
0.606198467	6.877360821	-18.17252541	NaN
0.606210055	6.898067474	-18.17252541	NaN
0.606221658	6.883628845	-18.17252541	NaN
0.606233218	6.907785416	-18.17252541	NaN
0.606244779	6.874634266	-18.17252541	NaN
0.606256348	6.88655901	-18.17252541	NaN
0.606267931	6.857613564	-18.17252541	NaN
0.606279499	6.857422829	-18.17252541	NaN
0.606291091	6.857250214	-18.17252541	NaN
0.606302659	6.826573849	-18.17252541	NaN
0.606314229	6.830089569	-18.17252541	NaN
0.606325814	6.836713314	-18.17252541	NaN
0.606337404	6.842290878	-18.17252541	NaN
0.606348963	6.847917557	-18.17252541	NaN
0.606360536	6.858575821	-18.17252541	NaN
0.606372095	6.864966393	-18.17252541	NaN
0.606383676	6.857321262	-18.17252541	NaN
0.606395244	6.86302042	-18.17252541	NaN
0.606406834	6.856281281	-18.17252541	NaN
0.606418394	6.829189301	-18.17252541	NaN
0.606429977	6.838689327	-18.17252541	NaN
0.606441532	6.79463625	-18.17252541	NaN
0.606453151	6.817286491	-18.17252541	NaN
0.606464708	6.807227612	-18.17252541	NaN
0.60647626	6.821105957	-18.17252541	NaN
0.60648785	6.787901878	-18.17252541	NaN
0.606499426	6.820240498	-18.17252541	NaN
