Day fraction since midnight on 	pH probe (pH)	Source Pressure (Pa)	air valve control ()
0.636395844	3.838185787	-18.17252541	NaN
0.636407412	3.851810932	-18.17252541	NaN
0.636418986	3.854515553	-18.17252541	NaN
0.636430549	3.842868328	-18.17252541	NaN
0.636442128	3.84849453	-18.17252541	NaN
0.636453695	3.83677721	-18.17252541	NaN
0.636465272	3.849642992	-18.17252541	NaN
0.636476855	3.824607372	-18.17252541	NaN
0.636488427	3.854639769	-18.17252541	NaN
0.636499981	3.834567308	-18.17252541	NaN
0.636511571	3.831780672	-18.17252541	NaN
0.636523132	3.814754486	-18.17252541	NaN
0.636534719	3.842115164	-18.17252541	NaN
0.636546318	3.829345226	-18.17252541	NaN
0.636557876	3.831372261	-18.17252541	NaN
0.636569443	3.805794239	-18.17252541	NaN
0.63658104	3.835048437	-18.17252541	NaN
0.636592574	3.815330029	-18.17252541	NaN
0.636604161	3.824904203	-18.17252541	NaN
0.636615732	3.820034981	-18.17252541	NaN
0.636627313	3.852340221	-18.17252541	NaN
0.636638901	3.822492123	-18.17252541	NaN
0.63665046	3.840770483	-18.17252541	NaN
0.636662033	3.836112261	-18.17252541	NaN
0.636673611	3.869343281	-18.17252541	NaN
0.636685193	3.866718769	-18.17252541	NaN
0.636696762	3.873677015	-18.17252541	NaN
0.636708357	3.875413895	-18.17252541	NaN
0.636719903	3.891770124	-18.17252541	NaN
0.636731478	3.888625145	-18.17252541	NaN
0.636743046	3.89966917	-18.17252541	NaN
0.636754634	3.902898073	-18.17252541	NaN
0.636766195	3.916689634	-18.17252541	NaN
0.636777773	3.91311717	-18.17252541	NaN
0.636789374	3.918148279	-18.17252541	NaN
0.636800925	3.925769329	-18.17252541	NaN
0.636812495	3.937858343	-18.17252541	NaN
0.636824079	3.932912588	-18.17252541	NaN
0.636835642	3.918642283	-18.17252541	NaN
0.636847239	3.934579611	-18.17252541	NaN
0.636858794	3.93236804	-18.17252541	NaN
0.636870385	3.955832005	-18.17252541	NaN
0.63688196	3.93474865	-18.17252541	NaN
0.636893526	3.935048819	-18.17252541	NaN
0.636905089	3.917969704	-18.17252541	NaN
0.636916661	3.943528652	-18.17252541	NaN
0.636928221	3.944866657	-18.17252541	NaN
0.636939829	3.961767435	-18.17252541	NaN
0.636951406	3.944797754	-18.17252541	NaN
0.636962959	3.989057541	-18.17252541	NaN
0.636974529	3.953394413	-18.17252541	NaN
0.636986128	3.96821785	-18.17252541	NaN
0.636997697	3.960227013	-18.17252541	NaN
0.637009273	3.969884634	-18.17252541	NaN
0.637020839	3.953647614	-18.17252541	NaN
0.637032408	3.972822905	-18.17252541	NaN
0.637043985	3.962567568	-18.17252541	NaN
0.637055539	3.980610371	-18.17252541	NaN
0.637067128	3.971358776	-18.17252541	NaN
0.637078716	3.988516092	-18.17252541	NaN
0.637090289	3.972424984	-18.17252541	NaN
0.637101842	3.999412537	-18.17252541	NaN
0.637113418	3.968928814	-18.17252541	NaN
0.637124996	3.980817318	-18.17252541	NaN
0.637136582	3.973431349	-18.17252541	NaN
0.637148139	3.990752935	-18.17252541	NaN
0.637159721	3.987970352	-18.17252541	NaN
0.637171296	3.999882937	-18.17252541	NaN
0.63718286	3.997791767	-18.17252541	NaN
0.637194446	3.998266697	-18.17252541	NaN
0.637206029	4.026179791	-18.17252541	NaN
0.637217597	3.992058039	-18.17252541	NaN
0.637229178	3.992190599	-18.17252541	NaN
0.637240733	3.958117724	-18.17252541	NaN
0.637252301	3.9661479	-18.17252541	NaN
0.637263881	3.949533463	-18.17252541	NaN
0.637275474	3.953215599	-18.17252541	NaN
0.637287027	3.925258637	-18.17252541	NaN
0.637298625	3.936864138	-18.17252541	NaN
0.637310179	3.928427935	-18.17252541	NaN
0.637321783	3.944178581	-18.17252541	NaN
0.637333349	3.92835021	-18.17252541	NaN
0.63734491	3.95128417	-18.17252541	NaN
0.63735649	3.938092232	-18.17252541	NaN
0.637368036	3.952741146	-18.17252541	NaN
0.637379617	3.939221382	-18.17252541	NaN
0.637391192	3.953294277	-18.17252541	NaN
0.63740276	3.908239365	-18.17252541	NaN
0.637414358	3.918185234	-18.17252541	NaN
0.637425933	3.908376455	-18.17252541	NaN
0.637437486	3.923014164	-18.17252541	NaN
0.637449088	3.911674738	-18.17252541	NaN
0.63746065	3.931187153	-18.17252541	NaN
0.637472226	3.927021503	-18.17252541	NaN
0.63748382	3.938869715	-18.17252541	NaN
0.637495361	3.929247618	-18.17252541	NaN
0.637506945	3.939758062	-18.17252541	NaN
0.637518543	3.927401066	-18.17252541	NaN
0.6375301	3.867371082	-18.17252541	NaN
0.637541648	3.740441322	-18.17252541	NaN
0.637553231	3.70909524	-18.17252541	NaN
0.637564797	3.679759026	-18.17252541	NaN
0.63757639	3.690658569	-18.17252541	NaN
0.637587985	3.705887795	-18.17252541	NaN
0.637599546	3.711604118	-18.17252541	NaN
0.637611094	3.715606928	-18.17252541	NaN
0.637622681	3.702590704	-18.17252541	NaN
0.637634272	3.660204649	-18.17252541	NaN
0.637645824	3.630387783	-18.17252541	NaN
0.637657421	3.664001465	-18.17252541	NaN
0.637668966	3.657739878	-18.17252541	NaN
0.637680542	3.669279099	-18.17252541	NaN
0.637692126	3.606861115	-18.17252541	NaN
0.637703719	3.584165335	-18.17252541	NaN
0.637715278	3.588738918	-18.17252541	NaN
0.637726864	3.622875452	-18.17252541	NaN
0.637738434	3.620322466	-18.17252541	NaN
0.637749997	3.647698402	-18.17252541	NaN
0.637761559	3.629793167	-18.17252541	NaN
0.63777314	3.610625982	-18.17252541	NaN
0.637784733	3.596070051	-18.17252541	NaN
0.637796298	3.659073114	-18.17252541	NaN
0.637807865	3.616976023	-18.17252541	NaN
0.637819459	3.596469641	-18.17252541	NaN
0.637831023	3.579147339	-18.17252541	NaN
0.637842576	3.593105555	-18.17252541	NaN
0.637854152	3.589347839	-18.17252541	NaN
0.637865763	3.598609209	-18.17252541	NaN
0.637877325	3.593253136	-18.17252541	NaN
0.637888884	3.597681284	-18.17252541	NaN
0.637900478	3.575477839	-18.17252541	NaN
0.637912038	3.577866554	-18.17252541	NaN
0.637923615	3.588139534	-18.17252541	NaN
0.637935188	3.593640566	-18.17252541	NaN
0.637946768	3.615847111	-18.17252541	NaN
0.637958342	3.622067928	-18.17252541	NaN
0.637969911	3.631376982	-18.17252541	NaN
0.637981478	3.64056468	-18.17252541	NaN
0.63799305	3.644206762	-18.17252541	NaN
0.63800463	3.644729853	-18.17252541	NaN
0.638016194	3.655066013	-18.17252541	NaN
